nfs-server    | Starting rpcbind
nfs-server    | Starting dbus
nfs-server    | Starting Ganesha NFS
nfs-server    | SIGUSR1    : Enable/Disable File Content Cache forced flush
nfs-server    | SIGTERM    : Cleanly terminate the Ganesha NFS
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] main :MAIN :EVENT :nfs-ganesha Starting: Ganesha Version 3.4
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] log_conf_commit :CONFIG :EVENT :Switching to new component log levels
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :FileSystem info for FSAL PSEUDO {
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  maxfilesize  = 200    
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  maxlink  = 0
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  maxnamelen  = 255
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  maxpathlen  = 4096
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  no_trunc  = 1 
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  chown_restricted  = 1 
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  case_insensitive  = 0 
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  case_preserving  = 1 
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  link_support  = 0  
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  symlink_support  = 0  
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  lock_support  = 0  
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  lock_support_async_block  = 0  
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  named_attr  = 0  
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  unique_handles  = 1  
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  acl_support  = 0  
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  cansettime  = 1  
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  homogenous  = 1  
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  supported_attrs  = 11DFCE
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  maxread  = 67108864
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  maxwrite  = 67108864
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  umask  = 0 
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  auth_exportpath_xdev  = 0  
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  delegations = 0  
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  pnfs_mds = 0  
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  pnfs_ds = 0  
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  fsal_trace = 0  
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  fsal_grace = 0  
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  expire_time_parent = -1  
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :}
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] init_config :FSAL :DEBUG :FSAL INIT: Supported attributes mask = 0x11dfce
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] nfs_set_param_from_conf :NFS STARTUP :EVENT :Configuration file successfully parsed
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] init_server_pkgs :NFS STARTUP :EVENT :Initializing ID Mapper.
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] init_server_pkgs :NFS STARTUP :EVENT :ID Mapper successfully initialized.
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] nfs_start_grace :STATE :EVENT :NFS Server Now IN GRACE, duration 90
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] load_fsal :FSAL :F_DBG :FSAL VFS refcount 1
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] init_config :FSAL :INFO :FSAL_VFS testing OFD Locks
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] init_config :FSAL :INFO :FSAL_VFS enabling OFD Locks
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] init_config :FSAL :F_DBG :Supported attributes default = 0x91dfce
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :FileSystem info for FSAL VFS {
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  maxfilesize  = 7FFFFFFFFFFFFFFF    
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  maxlink  = 8
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  maxnamelen  = 1024
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] display_fsinfo :FSAL :DEBUG :  maxpathlen  = 1024
